# Functions found by Ghidra auto-analysis
# Address | Size | Name | Signature
#---
0x015D24 |    148 | FUN_00015d24 | undefined8 FUN_00015d24(ushort * param_1)
0x015DB8 |    148 | FUN_00015db8 | bool FUN_00015db8(ushort * param_1)
0x015E4C |    628 | FUN_00015e4c | longlong FUN_00015e4c(ushort * param_1, uint param_2, longlong param_3, ulonglong param_4)
0x0160C0 |    392 | FUN_000160c0 | undefined8 FUN_000160c0(ushort * param_1, uint param_2, short * param_3, uint param_4)
0x016248 |    764 | FUN_00016248 | undefined FUN_00016248(ushort * param_1)
0x016610 |     68 | FUN_00016610 | undefined FUN_00016610(longlong param_1, longlong param_2, longlong param_3, ulonglong param_4, longlong param_5)
0x016654 |    328 | FUN_00016654 | undefined FUN_00016654(int param_1, char param_2)
0x01679C |    532 | FUN_0001679c | undefined FUN_0001679c(void)
0x016FF0 |    340 | FUN_00016ff0 | char * FUN_00016ff0(void)
0x017144 |    472 | FUN_00017144 | int * FUN_00017144(int * param_1, longlong param_2, char * param_3, char * param_4, longlong param_5, byte * param_6)
0x01731C |    176 | FUN_0001731c | undefined FUN_0001731c(int * param_1, longlong param_2, char * param_3, char * param_4)
0x0173CC |    176 | FUN_000173cc | undefined FUN_000173cc(int * param_1, longlong param_2, char * param_3, char * param_4)
0x01747C |    188 | FUN_0001747c | undefined FUN_0001747c(void)
0x017538 |     72 | FUN_00017538 | undefined FUN_00017538(void)
0x017580 |    328 | FUN_00017580 | longlong FUN_00017580(void)
0x0176C8 |     96 | FUN_000176c8 | undefined8 FUN_000176c8(void)
0x017728 |    232 | FUN_00017728 | undefined FUN_00017728(char param_1)
0x017810 |    156 | FUN_00017810 | undefined FUN_00017810(void)
0x0178AC |    580 | FUN_000178ac | longlong FUN_000178ac(longlong * param_1, uint * param_2)
0x017AF0 |    300 | FUN_00017af0 | longlong FUN_00017af0(undefined8 param_1)
0x017C1C |    632 | FUN_00017c1c | longlong FUN_00017c1c(ulonglong * param_1)
0x017E94 |    748 | FUN_00017e94 | int FUN_00017e94(void)
0x018180 |    104 | FUN_00018180 | undefined FUN_00018180(short * param_1, uint param_2)
0x0181E8 |    116 | FUN_000181e8 | undefined FUN_000181e8(undefined4 * param_1)
0x01825C |    272 | FUN_0001825c | longlong FUN_0001825c(longlong param_1, uint param_2, undefined4 param_3)
0x01836C |    228 | FUN_0001836c | undefined4 FUN_0001836c(undefined4 param_1)
0x018450 |    252 | FUN_00018450 | longlong FUN_00018450(undefined4 param_1, undefined8 param_2, undefined8 * param_3)
0x01854C |    520 | FUN_0001854c | uint FUN_0001854c(undefined4 param_1)
0x018754 |    388 | FUN_00018754 | longlong FUN_00018754(void)
0x0188D8 |    868 | FUN_000188d8 | longlong FUN_000188d8(void)
0x018C3C |    948 | FUN_00018c3c | longlong FUN_00018c3c(undefined4 * param_1)
0x018FF0 |    464 | FUN_00018ff0 | longlong FUN_00018ff0(undefined4 * param_1, char param_2)
0x0191C0 |   1332 | FUN_000191c0 | longlong FUN_000191c0(byte * param_1, uint param_2)
0x0196F4 |     68 | FUN_000196f4 | undefined4 FUN_000196f4(void)
0x019738 |     68 | FUN_00019738 | undefined4 FUN_00019738(void)
0x01977C |     68 | FUN_0001977c | undefined4 FUN_0001977c(void)
0x0197C0 |     68 | FUN_000197c0 | undefined * FUN_000197c0(void)
0x019804 |     64 | FUN_00019804 | undefined4 FUN_00019804(void)
0x019844 |     68 | FUN_00019844 | undefined4 FUN_00019844(void)
0x019888 |     88 | FUN_00019888 | uint FUN_00019888(void)
0x0198E0 |    296 | FUN_000198e0 | undefined FUN_000198e0(longlong param_1, uint param_2)
0x019A08 |     68 | FUN_00019a08 | undefined4 FUN_00019a08(void)
0x019A4C |     84 | FUN_00019a4c | uint FUN_00019a4c(void)
0x019AA0 |     84 | FUN_00019aa0 | uint FUN_00019aa0(void)
0x019AF4 |    268 | FUN_00019af4 | longlong FUN_00019af4(uint * param_1)
0x019C00 |    120 | FUN_00019c00 | undefined8 FUN_00019c00(void)
0x019C78 |    192 | FUN_00019c78 | undefined8 FUN_00019c78(longlong param_1, int param_2)
0x019D38 |   7764 | FUN_00019d38 | longlong FUN_00019d38(char * param_1)
0x01BB8C |    284 | FUN_0001bb8c | undefined8 FUN_0001bb8c(longlong param_1, undefined8 * param_2, undefined8 * param_3, char * param_4)
0x01BCA8 |     60 | FUN_0001bca8 | undefined8 FUN_0001bca8(void)
0x01BCE4 |    796 | FUN_0001bce4 | undefined8 FUN_0001bce4(longlong param_1)
0x01C000 |   2032 | FUN_0001c000 | undefined8 FUN_0001c000(byte * param_1, uint param_2, uint * param_3, uint * param_4, char param_5)
0x01C7F0 |     60 | FUN_0001c7f0 | undefined8 FUN_0001c7f0(void)
0x01C82C |     60 | FUN_0001c82c | undefined8 FUN_0001c82c(void)
0x01C868 |     60 | FUN_0001c868 | undefined8 FUN_0001c868(void)
0x01C8A4 |     64 | FUN_0001c8a4 | undefined1 FUN_0001c8a4(void)
0x01C8E4 |     60 | FUN_0001c8e4 | undefined8 FUN_0001c8e4(void)
0x01C920 |     60 | FUN_0001c920 | undefined8 FUN_0001c920(void)
0x01C95C |    596 | FUN_0001c95c | undefined8 FUN_0001c95c(longlong param_1, uint * param_2, longlong * param_3)
0x01CBB0 |    736 | FUN_0001cbb0 | ulonglong FUN_0001cbb0(longlong param_1, uint param_2, longlong param_3, uint param_4, int * param_5, undefined4 * param_6)
0x01CF08 |    124 | FUN_0001cf08 | undefined8 FUN_0001cf08(char * param_1, uint param_2)
0x01CF84 |     64 | FUN_0001cf84 | undefined4 FUN_0001cf84(void)
0x01CFC4 |     64 | FUN_0001cfc4 | undefined4 FUN_0001cfc4(void)
0x01D004 |     72 | FUN_0001d004 | byte FUN_0001d004(void)
0x01D04C |   7144 | FUN_0001d04c | longlong FUN_0001d04c(ulonglong param_1, ulonglong param_2, uint param_3, longlong param_4)
0x01EC34 |    632 | FUN_0001ec34 | longlong FUN_0001ec34(ulonglong param_1, uint param_2, uint param_3)
0x01EEAC |   4052 | FUN_0001eeac | undefined8 FUN_0001eeac(uint * param_1, longlong param_2, uint param_3)
0x01FE80 |    616 | FUN_0001fe80 | longlong FUN_0001fe80(undefined8 param_1, ulonglong param_2)
0x0200E8 |   1008 | FUN_000200e8 | undefined1 FUN_000200e8(longlong * param_1, int param_2)
0x0204D8 |   1444 | FUN_000204d8 | undefined8 FUN_000204d8(longlong * param_1, int param_2)
0x020A7C |    216 | FUN_00020a7c | undefined8 FUN_00020a7c(longlong * param_1, undefined8 param_2, undefined8 param_3)
0x020B54 |     96 | FUN_00020b54 | undefined FUN_00020b54(longlong * param_1)
0x020BB4 |    332 | FUN_00020bb4 | longlong FUN_00020bb4(ulonglong param_1)
0x020D00 |    348 | FUN_00020d00 | uint FUN_00020d00(uint * param_1, uint param_2, uint param_3, uint param_4)
0x020E5C |    348 | FUN_00020e5c | uint FUN_00020e5c(uint * param_1, uint param_2, undefined8 param_3, undefined8 param_4)
0x020FB8 |   5104 | FUN_00020fb8 | longlong FUN_00020fb8(uint * param_1, char * param_2, longlong param_3, uint param_4)
0x0223A8 |   1640 | FUN_000223a8 | longlong FUN_000223a8(uint * param_1)
0x022A10 |    200 | FUN_00022a10 | undefined FUN_00022a10(undefined8 * param_1, int param_2)
0x022AD8 |    528 | FUN_00022ad8 | undefined FUN_00022ad8(uint * param_1, char * param_2)
0x022CE8 |    488 | FUN_00022ce8 | undefined FUN_00022ce8(uint * param_1)
0x022ED0 |    920 | FUN_00022ed0 | undefined FUN_00022ed0(uint * param_1, char * param_2)
0x023268 |   1060 | FUN_00023268 | longlong FUN_00023268(uint param_1, undefined8 * param_2, longlong param_3, uint * param_4)
0x02368C |    112 | FUN_0002368c | undefined FUN_0002368c(char * param_1)
0x0236FC |    212 | FUN_000236fc | ulonglong FUN_000236fc(void)
0x0237D0 |    248 | FUN_000237d0 | longlong FUN_000237d0(undefined4 param_1, undefined8 param_2, undefined4 param_3)
0x0238C8 |    296 | FUN_000238c8 | longlong FUN_000238c8(undefined8 param_1)
0x0239F0 |    840 | FUN_000239f0 | longlong FUN_000239f0(longlong param_1, longlong param_2, longlong param_3, ulonglong param_4, longlong param_5)
0x023D38 |    368 | FUN_00023d38 | longlong FUN_00023d38(undefined8 param_1, longlong param_2, uint param_3)
0x023EA8 |    224 | FUN_00023ea8 | undefined1 FUN_00023ea8(void)
0x023F88 |    240 | FUN_00023f88 | longlong FUN_00023f88(void)
0x024078 |    392 | FUN_00024078 | longlong FUN_00024078(longlong param_1, undefined8 param_2)
0x024200 |    496 | FUN_00024200 | longlong FUN_00024200(short * param_1, uint param_2)
0x0243F0 |    976 | FUN_000243f0 | ulonglong FUN_000243f0(longlong * param_1, char param_2, char param_3, wchar_t * param_4, longlong param_5)
0x0247C0 |   5988 | FUN_000247c0 | longlong FUN_000247c0(char * param_1, char * param_2, uint param_3, char param_4, char * param_5, undefined8 * param_6)
0x025F24 |    240 | FUN_00025f24 | undefined FUN_00025f24(longlong param_1, char * param_2, int * param_3, char * param_4)
0x026014 |    508 | FUN_00026014 | longlong FUN_00026014(uint * param_1)
0x026210 |    376 | FUN_00026210 | longlong FUN_00026210(char * param_1)
0x026388 |    456 | FUN_00026388 | longlong FUN_00026388(undefined8 param_1, longlong * param_2, uint param_3)
0x026550 |    552 | FUN_00026550 | longlong FUN_00026550(undefined1 * param_1)
0x026778 |    340 | FUN_00026778 | longlong FUN_00026778(uint * param_1, uint param_2)
0x0268CC |    168 | FUN_000268cc | undefined FUN_000268cc(short * param_1, uint param_2)
0x026974 |    640 | FUN_00026974 | undefined FUN_00026974(uint param_1)
0x026BF4 |    312 | FUN_00026bf4 | int FUN_00026bf4(void)
0x026D2C |    312 | FUN_00026d2c | int FUN_00026d2c(void)
0x026E64 |    440 | FUN_00026e64 | longlong FUN_00026e64(void)
0x02701C |    328 | FUN_0002701c | undefined FUN_0002701c(void)
0x027164 |     76 | FUN_00027164 | undefined FUN_00027164(void)
0x0271B0 |    112 | FUN_000271b0 | undefined4 FUN_000271b0(void)
0x027220 |  10200 | FUN_00027220 | longlong FUN_00027220(char * param_1, int * param_2)
0x0299F8 |   6292 | FUN_000299f8 | undefined8 FUN_000299f8(undefined8 * param_1, short param_2, short param_3, uint param_4, ulonglong param_5)
0x02B28C |    180 | FUN_0002b28c | undefined FUN_0002b28c(longlong param_1, undefined8 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6, undefined4 param_7, undefined4 param_8)
0x02B340 |    276 | FUN_0002b340 | undefined8 FUN_0002b340(longlong param_1, undefined4 param_2)
0x02B454 |    672 | FUN_0002b454 | undefined8 FUN_0002b454(uint param_1, ushort * param_2, uint param_3, int param_4)
0x02B6F4 |    112 | FUN_0002b6f4 | undefined8 FUN_0002b6f4(uint param_1, uint * param_2, uint * param_3)
0x02B764 |    184 | FUN_0002b764 | undefined8 FUN_0002b764(uint param_1, uint param_2)
0x02B81C |     84 | FUN_0002b81c | undefined8 FUN_0002b81c(uint * param_1, uint * param_2)
0x02B870 |    632 | FUN_0002b870 | undefined FUN_0002b870(char param_1)
0x02BAE8 |    588 | FUN_0002bae8 | undefined FUN_0002bae8(char * param_1, uint param_2, char * param_3, uint param_4)
0x02BD34 |     76 | FUN_0002bd34 | undefined FUN_0002bd34(int param_1)
0x02BD80 |    184 | FUN_0002bd80 | undefined FUN_0002bd80(void)
0x02BE38 |     96 | FUN_0002be38 | undefined FUN_0002be38(void)
0x02BE98 |    336 | FUN_0002be98 | longlong FUN_0002be98(undefined8 param_1)
0x02C734 |    344 | FUN_0002c734 | undefined FUN_0002c734(longlong param_1)
0x02C88C |    268 | FUN_0002c88c | undefined8 FUN_0002c88c(void)
0x02C998 |    364 | FUN_0002c998 | longlong FUN_0002c998(uint param_1, int * param_2)
0x02CB04 |   1368 | FUN_0002cb04 | undefined FUN_0002cb04(int param_1)
0x02D05C |    180 | FUN_0002d05c | int FUN_0002d05c(char * param_1)
0x02D110 |    240 | FUN_0002d110 | longlong FUN_0002d110(longlong * param_1)
0x02D200 |   1388 | FUN_0002d200 | longlong FUN_0002d200(uint * param_1, uint param_2)
0x02D76C |    312 | FUN_0002d76c | longlong FUN_0002d76c(uint param_1)
0x02D8A4 |    116 | FUN_0002d8a4 | ulonglong FUN_0002d8a4(void)
0x02D918 |    256 | FUN_0002d918 | undefined8 FUN_0002d918(ushort * param_1)
0x02DA18 |   1164 | FUN_0002da18 | longlong FUN_0002da18(short * param_1)
0x02DEA4 |     64 | FUN_0002dea4 | undefined4 FUN_0002dea4(void)
0x02DEE4 |     76 | FUN_0002dee4 | undefined4 FUN_0002dee4(ulonglong param_1)
0x02DF30 |     68 | FUN_0002df30 | undefined FUN_0002df30(undefined4 * param_1)
0x02DF74 |    220 | FUN_0002df74 | int FUN_0002df74(ushort * param_1, int param_2)
0x02E050 |    456 | FUN_0002e050 | undefined FUN_0002e050(void)
0x02E218 |    176 | FUN_0002e218 | uint FUN_0002e218(ushort * param_1)
0x02E2C8 |    236 | FUN_0002e2c8 | longlong FUN_0002e2c8(longlong param_1)
0x02E3B4 |   2676 | FUN_0002e3b4 | undefined FUN_0002e3b4(uint param_1)
0x02EE28 |    492 | FUN_0002ee28 | longlong FUN_0002ee28(int param_1, longlong param_2, uint * param_3)
