# Data section pointers to code (.text)
# DataAddr | TargetAddr | TargetFunction
#---
0x098A58 | 0x07AC50 | (none)
0x098A60 | 0x07239B | (none)
0x098A70 | 0x07AC3D | (none)
0x098A78 | 0x07B00E | (none)
0x098A80 | 0x071710 | (none)
0x098A88 | 0x07AC50 | (none)
0x098A90 | 0x07239B | (none)
0x098AA0 | 0x07AC3D | (none)
0x098AA8 | 0x07B019 | (none)
0x098AB0 | 0x071710 | (none)
0x098AB8 | 0x07AC50 | (none)
0x098AC0 | 0x07239B | (none)
0x098AC8 | 0x001000 | entry
0x098AD0 | 0x07AC3D | (none)
0x098AD8 | 0x07AFF9 | (none)
0x098AE0 | 0x071710 | (none)
0x098AE8 | 0x07AC50 | (none)
0x098AF0 | 0x07239B | (none)
0x098B00 | 0x07B04C | (none)
0x098B08 | 0x07B052 | (none)
0x098B10 | 0x076E39 | (none)
0x098B18 | 0x07B058 | (none)
0x098B20 | 0x07B05C | (none)
0x098B30 | 0x07B04C | (none)
0x098B38 | 0x07B060 | (none)
0x098B40 | 0x076E39 | (none)
0x098B48 | 0x07B058 | (none)
0x098B50 | 0x07B05C | (none)
0x098B60 | 0x07B04C | (none)
0x098B68 | 0x07B068 | (none)
0x098B70 | 0x076E39 | (none)
0x098B78 | 0x07B058 | (none)
0x098B80 | 0x07B05C | (none)
0x098B90 | 0x07B04C | (none)
0x098B98 | 0x07B070 | (none)
0x098BA0 | 0x076E39 | (none)
0x098BA8 | 0x07B058 | (none)
0x098BB0 | 0x07B05C | (none)
0x098BC0 | 0x07B04C | (none)
0x098BC8 | 0x07B078 | (none)
0x098BD0 | 0x076E39 | (none)
0x098BD8 | 0x07B058 | (none)
0x098BE0 | 0x07B05C | (none)
0x098BF0 | 0x07B04C | (none)
0x098BF8 | 0x07B080 | (none)
0x098C00 | 0x076E39 | (none)
0x098C08 | 0x07B058 | (none)
0x098C10 | 0x07B05C | (none)
0x098C20 | 0x07B04C | (none)
0x098C28 | 0x07B088 | (none)
0x098C30 | 0x076E39 | (none)
0x098C38 | 0x07B058 | (none)
0x098C40 | 0x07B05C | (none)
0x098C50 | 0x07B04C | (none)
0x098C58 | 0x07B090 | (none)
0x098C60 | 0x076E39 | (none)
0x098C68 | 0x07B058 | (none)
0x098C70 | 0x07B05C | (none)
0x098C80 | 0x07B04C | (none)
0x098C88 | 0x07B098 | (none)
0x098C90 | 0x076E39 | (none)
0x098C98 | 0x07B058 | (none)
0x098CA0 | 0x07B05C | (none)
0x098CB0 | 0x07B04C | (none)
0x098CB8 | 0x07B0A0 | (none)
0x098CC0 | 0x076E39 | (none)
0x098CC8 | 0x07B058 | (none)
0x098CD0 | 0x07B05C | (none)
0x098CE0 | 0x07B04C | (none)
0x098CE8 | 0x07B0A8 | (none)
0x098CF0 | 0x076E39 | (none)
0x098CF8 | 0x07B058 | (none)
0x098D00 | 0x07B05C | (none)
0x098D10 | 0x07B04C | (none)
0x098D18 | 0x07B0B0 | (none)
0x098D20 | 0x076E39 | (none)
0x098D28 | 0x07B058 | (none)
0x098D30 | 0x07B05C | (none)
0x098D40 | 0x07B04C | (none)
0x098D48 | 0x07B0B8 | (none)
0x098D50 | 0x076E39 | (none)
0x098D58 | 0x07B058 | (none)
0x098D60 | 0x07B05C | (none)
0x098D70 | 0x07B04C | (none)
0x098D78 | 0x07B0C0 | (none)
0x098D80 | 0x076E39 | (none)
0x098D88 | 0x07B058 | (none)
0x098D90 | 0x07B05C | (none)
0x098DA0 | 0x07B04C | (none)
0x098DA8 | 0x07B0C8 | (none)
0x098DB0 | 0x076E39 | (none)
0x098DB8 | 0x07B058 | (none)
0x098DC0 | 0x07B05C | (none)
0x098DD0 | 0x07B04C | (none)
0x098DD8 | 0x07B0D0 | (none)
0x098DE0 | 0x076E39 | (none)
0x098DE8 | 0x07B058 | (none)
0x098DF0 | 0x07B05C | (none)
0x099AD8 | 0x010000 | inside FUN_0000fe30
0x099AE0 | 0x042980 | (none)
0x099AE8 | 0x0429D8 | (none)
0x099AF8 | 0x090CD8 | (none)
0x099B00 | 0x091160 | (none)
0x099B08 | 0x090708 | (none)
0x099B10 | 0x07F528 | (none)
0x099B18 | 0x091230 | (none)
0x099B20 | 0x090A70 | (none)
0x099B28 | 0x090B40 | (none)
0x099B30 | 0x090F20 | (none)
0x099B38 | 0x090638 | (none)
0x099B40 | 0x07F458 | (none)
0x099B48 | 0x090FF0 | (none)
0x099B50 | 0x06B850 | FUN_0006b850
0x099B58 | 0x052048 | FUN_00052048
0x099B60 | 0x06B888 | FUN_0006b888
0x099B68 | 0x052088 | FUN_00052088
0x099B70 | 0x06B8CC | FUN_0006b8cc
0x099B78 | 0x06B850 | FUN_0006b850
0x099B80 | 0x0520CC | (none)
0x099B88 | 0x06B8CC | FUN_0006b8cc
0x099B90 | 0x05F324 | (none)
0x099B98 | 0x05F36C | (none)
0x099BA0 | 0x05F3D8 | (none)
0x099BA8 | 0x05F4F0 | (none)
0x099BB0 | 0x05F640 | (none)
0x099BB8 | 0x05F7BC | (none)
0x099BC8 | 0x091DE0 | (none)
0x099BD0 | 0x062284 | (none)
0x099BD8 | 0x062568 | (none)
0x099BE0 | 0x062858 | (none)
0x099BE8 | 0x062C14 | (none)
0x099BF0 | 0x062FAC | (none)
0x099BF8 | 0x0680A8 | FUN_000680a8
0x099C00 | 0x063494 | (none)
0x099C08 | 0x0634DC | (none)
0x099C38 | 0x092440 | (none)
0x099C40 | 0x065D64 | (none)
0x099C48 | 0x065F80 | (none)
0x099C50 | 0x066134 | (none)
0x099C58 | 0x0661D8 | (none)
0x099C60 | 0x066220 | (none)
0x099C80 | 0x066338 | (none)
0x099C88 | 0x066374 | (none)
0x099C90 | 0x0663B0 | (none)
0x099C98 | 0x06641C | FUN_0006641c
0x099CA0 | 0x06669C | (none)
0x099CA8 | 0x0666D8 | (none)
0x099CC0 | 0x0671A0 | FUN_000671a0
0x099CC8 | 0x0671EC | FUN_000671ec
0x099CD8 | 0x067248 | (none)
0x099CE0 | 0x0672E0 | (none)
0x099D00 | 0x067378 | (none)
0x099D08 | 0x0673BC | (none)
0x099D10 | 0x0673BC | (none)
0x099D18 | 0x0673FC | (none)
0x099D20 | 0x0674C8 | (none)
0x099D28 | 0x06759C | (none)
