# String cross-references for exploit-relevant strings
# StringAddr | String | RefFrom | RefType | Function
#---
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00598C | PARAM | FUN_00004e04 @ 0x4e04
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0058FC | PARAM | FUN_00004e04 @ 0x4e04
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0057D8 | PARAM | FUN_00004e04 @ 0x4e04
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x005A44 | PARAM | FUN_00004e04 @ 0x4e04
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x005414 | PARAM | FUN_00004e04 @ 0x4e04
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0054C0 | PARAM | FUN_00004e04 @ 0x4e04
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x005544 | PARAM | FUN_00004e04 @ 0x4e04
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0054FC | PARAM | FUN_00004e04 @ 0x4e04
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00528C | PARAM | FUN_00004e04 @ 0x4e04
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x005208 | PARAM | FUN_00004e04 @ 0x4e04
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x005098 | PARAM | FUN_00004e04 @ 0x4e04
0x06D870 | "assert fail: ops->read_is_device_unlocked != NULL\n" | 0x004E7C | PARAM | FUN_00004e04 @ 0x4e04
0x06DAE4 | "assert fail: avb_strcmp(slot_data->vbmeta_images[0].partition_name, "boot") =..." | 0x0052B4 | PARAM | FUN_00004e04 @ 0x4e04
0x06DDEE | ": No such partition. Trying 'boot' instead.\n" | 0x00602C | PARAM | FUN_00005b58 @ 0x5b58
0x06E529 | "androidboot.vbmeta.device" | 0x00531C | PARAM | FUN_00004e04 @ 0x4e04
0x06E567 | "androidboot.vbmeta.avb_version" | 0x005388 | PARAM | FUN_00004e04 @ 0x4e04
0x06E5A8 | "androidboot.vbmeta.device_state" | 0x005704 | PARAM | FUN_00004e04 @ 0x4e04
0x06E5C8 | "unlocked" | 0x011588 | PARAM | FUN_000107d8 @ 0x107d8
0x06E5D1 | "androidboot.vbmeta.hash_alg" | 0x005780 | PARAM | FUN_00004e04 @ 0x4e04
0x06E5D1 | "androidboot.vbmeta.hash_alg" | 0x00589C | PARAM | FUN_00004e04 @ 0x4e04
0x06E5ED | "androidboot.vbmeta.size" | 0x00579C | PARAM | FUN_00004e04 @ 0x4e04
0x06E5ED | "androidboot.vbmeta.size" | 0x0058B4 | PARAM | FUN_00004e04 @ 0x4e04
0x06E605 | "androidboot.vbmeta.digest" | 0x0057C0 | PARAM | FUN_00004e04 @ 0x4e04
0x06E605 | "androidboot.vbmeta.digest" | 0x0058D8 | PARAM | FUN_00004e04 @ 0x4e04
0x06E643 | "androidboot.vbmeta.invalidate_on_error" | 0x005AA8 | PARAM | FUN_00004e04 @ 0x4e04
0x06E6C4 | "androidboot.veritymode" | 0x005B34 | PARAM | FUN_00004e04 @ 0x4e04
0x06E7C3 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0080CC | PARAM | FUN_00008068 @ 0x8068
0x06E7C3 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00810C | PARAM | FUN_00008068 @ 0x8068
0x06E7C3 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0081C8 | PARAM | FUN_000081a8 @ 0x81a8
0x06E7C3 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x007E28 | PARAM | FUN_00007e00 @ 0x7e00
0x06E7C3 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x007E78 | PARAM | FUN_00007e00 @ 0x7e00
0x06EB3E | "Not updating rollbackindex as current slot is unbootable\n" | 0x008C3C | PARAM | FUN_00008bec @ 0x8bec
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x009E2C | PARAM | FUN_00009de8 @ 0x9de8
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x008EBC | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x008F04 | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x008F98 | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x008FEC | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00904C | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0090C8 | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x009188 | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x009230 | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00929C | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00930C | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00949C | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x009540 | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x009418 | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0093DC | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0091C4 | PARAM | FUN_00008e60 @ 0x8e60
0x06ED31 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x009104 | PARAM | FUN_00008e60 @ 0x8e60
0x06EE75 | "Overflow while computing size of boot image.\n" | 0x00912C | PARAM | FUN_00008e60 @ 0x8e60
0x06FA6B | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00B4B4 | PARAM | FUN_0000b28c @ 0xb28c
0x06FA6B | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00B52C | PARAM | FUN_0000b28c @ 0xb28c
0x06FA6B | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00B56C | PARAM | FUN_0000b28c @ 0xb28c
0x06FA6B | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00B4F4 | PARAM | FUN_0000b28c @ 0xb28c
0x07082F | "@/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk..." | (no xrefs) | - | -
0x070A37 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00C144 | PARAM | FUN_0000bed0 @ 0xbed0
0x070A37 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00C1A0 | PARAM | FUN_0000bed0 @ 0xbed0
0x070AF5 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00C4D8 | PARAM | FUN_0000c218 @ 0xc218
0x070AF5 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00C550 | PARAM | FUN_0000c218 @ 0xc218
0x070AF5 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00C518 | PARAM | FUN_0000c218 @ 0xc218
0x070B9C | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00C740 | PARAM | FUN_0000c5c8 @ 0xc5c8
0x070B9C | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00C7B8 | PARAM | FUN_0000c5c8 @ 0xc5c8
0x070B9C | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00C780 | PARAM | FUN_0000c5c8 @ 0xc5c8
0x070C57 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00C954 | PARAM | FUN_0000c82c @ 0xc82c
0x070C57 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00C994 | PARAM | FUN_0000c82c @ 0xc82c
0x070C57 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00C91C | PARAM | FUN_0000c82c @ 0xc82c
0x070C57 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00CC9C | PARAM | FUN_0000ca40 @ 0xca40
0x070C57 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00CE74 | PARAM | FUN_0000ca40 @ 0xca40
0x070C57 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00CDD8 | PARAM | FUN_0000ca40 @ 0xca40
0x070C57 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00CD98 | PARAM | FUN_0000ca40 @ 0xca40
0x070C57 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00CD58 | PARAM | FUN_0000ca40 @ 0xca40
0x070C57 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00CD10 | PARAM | FUN_0000ca40 @ 0xca40
